subtaskID,datapointID,answer
1,1,127.0
2,1,5.1
3,227846,1.0
3,227847,0.0
3,227848,0.0
3,227849,0.0
3,227850,0.0
3,227851,0.0
3,227852,0.0
3,227853,0.0
3,227854,0.0
3,227855,0.0
3,227856,0.0
3,227857,0.0
3,227858,0.0
3,227859,0.0
3,227860,0.0
3,227861,0.0
3,227862,0.0
3,227863,0.0
3,227864,0.0
3,227865,0.0
3,227866,0.0
3,227867,0.0
3,227868,0.0
3,227869,0.0
3,227870,0.0
3,227871,0.0
3,227872,0.0
3,227873,0.0
3,227874,0.0
3,227875,0.0
3,227876,0.0
3,227877,0.0
3,227878,0.0
3,227879,0.0
3,227880,0.0
3,227881,0.0
3,227882,0.0
3,227883,0.0
3,227884,0.0
3,227885,0.0
3,227886,0.0
3,227887,0.0
3,227888,0.0
3,227889,0.0
3,227890,0.0
3,227891,0.0
3,227892,0.0
3,227893,0.0
3,227894,0.0
3,227895,0.0
3,227896,0.0
3,227897,0.0
3,227898,0.0
3,227899,0.0
3,227900,0.0
3,227901,0.0
3,227902,0.0
3,227903,0.0
3,227904,0.0
3,227905,0.0
3,227906,0.0
3,227907,0.0
3,227908,0.0
3,227909,0.0
3,227910,0.0
3,227911,0.0
3,227912,0.0
3,227913,0.0
3,227914,0.0
3,227915,0.0
3,227916,0.0
3,227917,0.0
3,227918,0.0
3,227919,0.0
3,227920,0.0
3,227921,0.0
3,227922,0.0
3,227923,0.0
3,227924,0.0
3,227925,0.0
3,227926,0.0
3,227927,0.0
3,227928,0.0
3,227929,0.0
3,227930,0.0
3,227931,0.0
3,227932,0.0
3,227933,0.0
3,227934,0.0
3,227935,0.0
3,227936,0.0
3,227937,0.0
3,227938,0.0
3,227939,0.0
3,227940,0.0
3,227941,0.0
3,227942,0.0
3,227943,0.0
3,227944,0.0
3,227945,0.0
3,227946,0.0
3,227947,0.0
3,227948,0.0
3,227949,0.0
3,227950,0.0
3,227951,0.0
3,227952,0.0
3,227953,0.0
3,227954,0.0
3,227955,0.0
3,227956,0.0
3,227957,0.0
3,227958,0.0
3,227959,0.0
3,227960,0.0
3,227961,0.0
3,227962,0.0
3,227963,0.0
3,227964,0.0
3,227965,0.0
3,227966,0.0
3,227967,0.0
3,227968,0.0
3,227969,0.0
3,227970,0.0
3,227971,0.0
3,227972,0.0
3,227973,0.0
3,227974,0.0
3,227975,0.0
3,227976,0.0
3,227977,0.0
3,227978,0.0
3,227979,0.0
3,227980,0.0
3,227981,0.0
3,227982,0.0
3,227983,0.0
3,227984,0.0
3,227985,0.0
3,227986,0.0
3,227987,0.0
3,227988,0.0
3,227989,0.0
3,227990,0.0
3,227991,0.0
3,227992,0.0
3,227993,0.0
3,227994,0.0
3,227995,0.0
3,227996,0.0
3,227997,0.0
3,227998,0.0
3,227999,0.0
3,228000,0.0
3,228001,0.0
3,228002,0.0
3,228003,0.0
3,228004,0.0
3,228005,0.0
3,228006,0.0
3,228007,0.0
3,228008,0.0
3,228009,0.0
3,228010,0.0
3,228011,0.0
3,228012,0.0
3,228013,0.0
3,228014,0.0
3,228015,0.0
3,228016,0.0
3,228017,0.0
3,228018,0.0
3,228019,0.0
3,228020,0.0
3,228021,0.0
3,228022,0.0
3,228023,0.0
3,228024,0.0
3,228025,0.0
3,228026,0.0
3,228027,0.0
3,228028,0.0
3,228029,0.0
3,228030,0.0
3,228031,0.0
3,228032,0.0
3,228033,0.0
3,228034,0.0
3,228035,0.0
3,228036,0.0
3,228037,0.0
3,228038,0.0
3,228039,0.0
3,228040,0.0
3,228041,0.0
3,228042,0.0
3,228043,0.0
3,228044,0.0
3,228045,0.0
3,228046,0.0
3,228047,0.0
3,228048,0.0
3,228049,0.0
3,228050,0.0
3,228051,0.0
3,228052,0.0
3,228053,0.0
3,228054,0.0
3,228055,0.0
3,228056,0.0
3,228057,0.0
3,228058,0.0
3,228059,0.0
3,228060,0.0
3,228061,0.0
3,228062,0.0
3,228063,0.0
3,228064,0.0
3,228065,0.0
3,228066,0.0
3,228067,0.0
3,228068,0.0
3,228069,0.0
3,228070,0.0
3,228071,0.0
3,228072,0.0
3,228073,0.0
3,228074,0.0
3,228075,0.0
3,228076,0.0
3,228077,0.0
3,228078,0.0
3,228079,0.0
3,228080,0.0
3,228081,0.0
3,228082,0.0
3,228083,0.0
3,228084,0.0
3,228085,0.0
3,228086,0.0
3,228087,0.0
3,228088,0.0
3,228089,0.0
3,228090,0.0
3,228091,0.0
3,228092,0.0
3,228093,0.0
3,228094,0.0
3,228095,0.0
3,228096,0.0
3,228097,0.0
3,228098,0.0
3,228099,0.0
3,228100,0.0
3,228101,0.0
3,228102,0.0
3,228103,0.0
3,228104,0.0
3,228105,0.0
3,228106,0.0
3,228107,0.0
3,228108,0.0
3,228109,0.0
3,228110,0.0
3,228111,0.0
3,228112,0.0
3,228113,0.0
3,228114,0.0
3,228115,0.0
3,228116,0.0
3,228117,0.0
3,228118,0.0
3,228119,0.0
3,228120,0.0
3,228121,0.0
3,228122,0.0
3,228123,0.0
3,228124,0.0
3,228125,0.0
3,228126,0.0
3,228127,0.0
3,228128,0.0
3,228129,0.0
3,228130,0.0
3,228131,0.0
3,228132,0.0
3,228133,0.0
3,228134,0.0
3,228135,0.0
3,228136,0.0
3,228137,0.0
3,228138,0.0
3,228139,0.0
3,228140,0.0
3,228141,0.0
3,228142,0.0
3,228143,0.0
3,228144,0.0
3,228145,0.0
3,228146,0.0
3,228147,0.0
3,228148,0.0
3,228149,0.0
3,228150,0.0
3,228151,0.0
3,228152,0.0
3,228153,0.0
3,228154,0.0
3,228155,0.0
3,228156,0.0
3,228157,0.0
3,228158,0.0
3,228159,0.0
3,228160,0.0
3,228161,0.0
3,228162,0.0
3,228163,0.0
3,228164,0.0
3,228165,0.0
3,228166,0.0
3,228167,0.0
3,228168,0.0
3,228169,0.0
3,228170,0.0
3,228171,0.0
3,228172,0.0
3,228173,0.0
3,228174,0.0
3,228175,0.0
3,228176,0.0
3,228177,0.0
3,228178,0.0
3,228179,0.0
3,228180,0.0
3,228181,0.0
3,228182,0.0
3,228183,0.0
3,228184,0.0
3,228185,0.0
3,228186,0.0
3,228187,0.0
3,228188,0.0
3,228189,0.0
3,228190,0.0
3,228191,0.0
3,228192,0.0
3,228193,0.0
3,228194,0.0
3,228195,0.0
3,228196,0.0
3,228197,0.0
3,228198,0.0
3,228199,0.0
3,228200,0.0
3,228201,0.0
3,228202,0.0
3,228203,0.0
3,228204,0.0
3,228205,0.0
3,228206,0.0
3,228207,0.0
3,228208,0.0
3,228209,0.0
3,228210,0.0
3,228211,0.0
3,228212,0.0
3,228213,0.0
3,228214,0.0
3,228215,0.0
3,228216,0.0
3,228217,0.0
3,228218,0.0
3,228219,0.0
3,228220,0.0
3,228221,0.0
3,228222,0.0
3,228223,0.0
3,228224,0.0
3,228225,0.0
3,228226,0.0
3,228227,0.0
3,228228,0.0
3,228229,0.0
3,228230,0.0
3,228231,0.0
3,228232,0.0
3,228233,0.0
3,228234,0.0
3,228235,0.0
3,228236,0.0
3,228237,0.0
3,228238,0.0
3,228239,0.0
3,228240,0.0
3,228241,0.0
3,228242,0.0
3,228243,0.0
3,228244,0.0
3,228245,0.0
3,228246,0.0
3,228247,0.0
3,228248,0.0
3,228249,0.0
3,228250,0.0
3,228251,0.0
3,228252,0.0
3,228253,0.0
3,228254,0.0
3,228255,0.0
3,228256,0.0
3,228257,0.0
3,228258,0.0
3,228259,0.0
3,228260,0.0
3,228261,0.0
3,228262,0.0
3,228263,0.0
3,228264,0.0
3,228265,0.0
3,228266,0.0
3,228267,0.0
3,228268,0.0
3,228269,0.0
3,228270,0.0
3,228271,0.0
3,228272,0.0
3,228273,0.0
3,228274,0.0
3,228275,0.0
3,228276,0.0
3,228277,0.0
3,228278,0.0
3,228279,0.0
3,228280,0.0
3,228281,0.0
3,228282,0.0
3,228283,0.0
3,228284,0.0
3,228285,0.0
3,228286,0.0
3,228287,0.0
